transaction_number,T_date,transaction_type,Punk_Nr,T_from,T_to,amount
1,2022-05-06,1,220,1,2,0
2,2021-08-08,1,220,3,1,0
3,2021-07-15,1,220,1,3,0
4,2021-03-07,1,220,4,1,0
5,2021-03-05,1,220,5,4,0
6,2021-02-04,1,220,6,5,0
7,2020-05-15,2,220,7,8,199
8,2020-05-14,3,220,7,8,203
9,2017-07-06,3,220,9,8,51
10,2017-07-06,3,220,10,8,51
11,2017-06-23,4,220,8,6,0
12,2017-06-23,4,221,8,6,0
13,2022-03-17,1,222,11,12,0
14,2021-10-20,5,222,13,11,0
15,2021-02-13,2,222,14,8,9109
16,2021-02-08,3,222,14,8,8151
17,2021-02-04,6,222,15,13,0
18,2021-02-04,1,222,11,15,0
19,2021-02-04,1,222,6,11,0
20,2020-02-24,2,222,16,8,17
21,2020-01-24,3,222,16,8,10
22,2017-06-28,3,222,17,8,16
23,2017-06-23,4,222,8,6,0
24,2024-01-26,2,223,18,8,157755
25,2024-01-23,3,223,18,8,164940
26,2022-07-12,2,223,18,8,88646
27,2022-07-11,3,223,18,8,93023
28,2021-08-04,2,223,19,8,25294
29,2021-08-03,3,223,19,8,24998
30,2017-06-23,4,223,8,6,0
31,2022-11-10,3,224,20,8,2
32,2017-06-23,4,224,8,6,0
33,2022-03-17,1,225,6,12,0
34,2021-02-09,2,225,21,8,36526
35,2021-02-08,3,225,21,8,36197
36,2021-01-29,2,225,22,8,27626
37,2021-01-28,3,225,22,8,26600
38,2020-05-28,2,225,23,8,1655
39,2020-05-27,3,225,23,8,1647
40,2020-05-27,2,225,23,8,1962
41,2020-05-27,3,225,23,8,1962
42,2020-01-14,2,225,23,8,381
43,2020-01-14,3,225,23,8,360
44,2020-01-04,2,225,24,8,174
45,2020-01-02,3,225,24,8,165
46,2020-01-01,3,225,23,8,165
47,2019-03-28,2,225,25,8,208
48,2019-03-27,3,225,25,8,210
49,2019-03-25,2,225,25,8,134
50,2019-03-20,3,225,25,8,140
51,2017-06-27,3,225,9,8,29
52,2017-06-27,3,225,26,8,29
53,2017-06-25,3,225,9,8,14
54,2017-06-23,4,225,8,6,0
55,2022-12-29,2,226,27,8,1193
